Store,DayOfWeek,Promo,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,HasCompetition,Year,Month,Quarter,Day,Week,IsWeekend,lag1,lag7,lag14,lag30,roll7_mean,roll30_mean,IsHoliday
27,5,0,1,0,0,60.0,1.0,2005.0,1,5.0,2011.0,1,2015,7,3,24,30,0,6749.0,11297.0,8125.0,11190.0,7955.857142857143,9386.966666666667,0
28,6,0,0,0,0,1200.0,10.0,2014.0,1,6.0,2015.0,1,2015,6,2,6,23,1,5556.0,5782.0,4643.0,6375.0,5540.428571428572,5006.266666666666,0
29,1,1,0,3,2,2170.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,1,23,0,8507.0,8468.0,8278.0,6262.0,8048.714285714285,8942.1,0
30,6,0,0,0,0,40.0,2.0,2014.0,1,10.0,2014.0,1,2015,6,2,27,26,1,3190.0,3668.0,3635.0,5019.0,3388.0,4214.5,0
31,5,0,0,3,2,9800.0,7.0,2012.0,0,0.0,0.0,1,2015,6,2,26,26,0,4370.0,5984.0,4238.0,5722.0,4958.714285714285,5559.366666666667,0
32,4,1,0,0,0,2910.0,0.0,0.0,1,45.0,2009.0,0,2015,7,3,16,29,0,6320.0,3784.0,5980.0,3378.0,4524.285714285715,4253.3,0
33,2,1,0,0,2,1320.0,5.0,2013.0,0,0.0,0.0,1,2015,6,2,16,25,0,10956.0,8429.0,8973.0,9616.0,7978.0,8776.866666666667,0
34,2,0,0,2,0,2240.0,9.0,2009.0,0,0.0,0.0,1,2015,7,3,7,28,0,8650.0,12108.0,7400.0,10628.0,9809.857142857143,8476.233333333334,0
35,5,0,1,3,2,7660.0,10.0,2000.0,1,1.0,2012.0,1,2015,7,3,24,30,0,7779.0,12700.0,9574.0,12160.0,9397.0,11044.733333333334,0
36,3,1,1,0,2,540.0,6.0,2003.0,1,40.0,2014.0,1,2015,6,2,3,23,0,10208.0,9953.0,9809.0,8667.0,9800.0,10147.333333333334,0
37,2,0,1,2,0,4230.0,12.0,2014.0,0,0.0,0.0,1,2015,7,3,21,30,0,5804.0,9105.0,5594.0,7646.0,7420.571428571428,6649.833333333333,0
38,1,1,0,3,0,1090.0,4.0,2007.0,0,0.0,0.0,1,2015,6,2,15,25,0,6924.0,6685.0,4496.0,6491.0,5158.0,6462.066666666667,0
39,5,0,0,0,0,260.0,10.0,2006.0,1,31.0,2013.0,1,2015,6,2,26,26,0,4186.0,4923.0,4170.0,7273.0,3992.714285714286,4859.0,0
40,4,0,0,0,0,180.0,0.0,0.0,1,45.0,2009.0,0,2015,6,2,11,24,0,4126.0,4239.0,4760.0,5244.0,4514.428571428572,4472.033333333334,0
41,4,0,0,3,2,1180.0,0.0,0.0,1,31.0,2013.0,0,2015,6,2,11,24,0,4913.0,5921.0,6610.0,7305.0,6205.571428571428,6357.766666666666,0
42,2,1,1,0,2,290.0,0.0,0.0,1,40.0,2011.0,0,2015,7,3,14,29,0,14576.0,10124.0,8626.0,9527.0,9607.57142857143,10388.266666666666,0
43,1,0,0,3,0,4880.0,0.0,0.0,1,37.0,2009.0,0,2015,6,2,22,26,0,4560.0,3254.0,8779.0,6761.0,7193.142857142857,6809.5,0
44,1,1,0,0,0,540.0,6.0,2011.0,0,0.0,0.0,1,2015,6,2,15,25,0,3585.0,3433.0,5824.0,6260.0,4341.571428571428,5323.433333333333,0
45,5,1,0,3,0,9710.0,2.0,2014.0,0,0.0,0.0,1,2015,6,2,5,23,0,7892.0,3934.0,6494.0,6608.0,6026.142857142857,5846.233333333334,0
46,1,0,0,2,0,1200.0,9.0,2005.0,1,14.0,2011.0,1,2015,6,2,8,24,0,4256.0,4917.0,5900.0,6339.0,6421.571428571428,6043.633333333333,0
47,5,1,0,0,2,270.0,4.0,2013.0,1,14.0,2013.0,1,2015,6,2,19,25,0,7721.0,6021.0,9384.0,7486.0,7639.857142857143,7692.933333333333,0
48,3,1,0,0,0,1060.0,5.0,2012.0,0,0.0,0.0,1,2015,7,3,15,29,0,3903.0,3011.0,5030.0,3299.0,3377.5714285714284,3469.1,0
49,5,1,0,3,2,18010.0,9.0,2007.0,0,0.0,0.0,1,2015,6,2,19,25,0,7760.0,6027.0,8071.0,6337.0,7951.714285714285,8073.2,0
50,1,0,0,3,0,6260.0,11.0,2009.0,0,0.0,0.0,1,2015,7,3,20,30,0,4835.0,3578.0,4439.0,7510.0,5085.571428571428,4644.133333333333,0
51,4,1,0,0,2,10570.0,7.0,2013.0,1,9.0,2011.0,1,2015,6,2,18,25,0,7191.0,5598.0,9620.0,5232.0,7355.714285714285,7511.5,0
52,3,1,0,3,2,450.0,4.0,2014.0,1,39.0,2010.0,1,2015,7,3,15,29,0,9429.0,4925.0,9885.0,4957.0,6720.142857142857,6684.666666666667,0
53,3,1,0,0,2,30360.0,9.0,2013.0,0,0.0,0.0,1,2015,6,2,3,23,0,5764.0,4971.0,3092.0,3476.0,5525.714285714285,5586.466666666666,0
54,2,1,0,3,2,7170.0,8.0,2014.0,1,5.0,2013.0,1,2015,6,2,2,23,0,11181.0,7778.0,10757.0,8276.0,8294.57142857143,8713.1,0
55,3,1,0,0,0,720.0,11.0,2004.0,0,0.0,0.0,1,2015,6,2,17,25,0,6939.0,4442.0,8245.0,4383.0,5337.428571428572,5395.5,0
56,6,0,0,3,2,6620.0,3.0,2012.0,1,10.0,2014.0,1,2015,6,2,13,24,1,6700.0,10950.0,7771.0,8596.0,7946.142857142857,8592.9,0
57,1,0,0,3,2,420.0,6.0,2014.0,0,0.0,0.0,1,2015,6,2,8,24,0,5654.0,8666.0,10283.0,13183.0,10105.857142857143,9670.8,0
58,5,1,1,0,2,7340.0,5.0,2008.0,1,27.0,2012.0,1,2015,6,2,5,23,0,9254.0,5603.0,10348.0,10676.0,7768.571428571428,7976.233333333334,0
59,1,1,0,0,2,2840.0,6.0,2007.0,1,14.0,2011.0,1,2015,6,2,29,27,0,2641.0,2410.0,4820.0,2602.0,4144.285714285715,5255.3,0
60,5,1,0,3,2,5540.0,10.0,2009.0,0,0.0,0.0,1,2015,6,2,19,25,0,10930.0,7289.0,11456.0,9085.0,9846.714285714286,9439.166666666666,0
61,3,0,0,0,2,350.0,12.0,2007.0,1,1.0,2012.0,1,2015,7,3,22,30,0,4803.0,5831.0,4635.0,6969.0,5358.857142857143,5384.866666666667,0
62,2,0,1,0,0,2050.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,21,30,0,5617.0,8362.0,3747.0,8807.0,6880.0,6651.266666666666,0
63,3,1,0,2,2,3700.0,6.0,2010.0,1,18.0,2010.0,1,2015,7,3,15,29,0,8287.0,5547.0,10984.0,4779.0,7179.0,7353.733333333334,0
64,3,0,0,3,2,22560.0,0.0,0.0,1,14.0,2013.0,0,2015,6,2,24,26,0,8250.0,13359.0,10142.0,13760.0,11502.285714285714,11760.066666666668,0
65,5,0,0,0,2,13840.0,5.0,2010.0,1,1.0,2012.0,1,2015,6,2,26,26,0,4518.0,5784.0,3808.0,5624.0,4412.0,5070.2,0
66,1,1,0,3,0,7660.0,0.0,0.0,1,37.0,2009.0,0,2015,6,2,15,25,0,5992.0,6478.0,5096.0,6454.0,5675.0,6345.533333333334,0
67,3,1,0,0,2,410.0,2.0,2006.0,0,0.0,0.0,1,2015,7,3,15,29,0,10759.0,6728.0,12714.0,7313.0,7902.0,7909.233333333334,0
68,3,1,0,0,2,250.0,0.0,0.0,1,35.0,2012.0,0,2015,7,3,15,29,0,9346.0,7020.0,9327.0,6812.0,8396.285714285714,7730.033333333334,0
69,1,1,0,2,2,1130.0,0.0,0.0,1,40.0,2011.0,0,2015,6,2,1,23,0,8239.0,9311.0,9094.0,7248.0,8340.0,9112.766666666666,0
70,1,1,0,2,2,4840.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,1,23,0,7046.0,6649.0,6856.0,5124.0,6302.285714285715,7007.466666666666,0
71,3,1,1,0,0,17500.0,8.0,2008.0,1,37.0,2009.0,1,2015,7,3,1,27,0,13171.0,8006.0,14359.0,8873.0,9124.142857142857,9334.466666666667,0
72,2,0,0,0,0,2200.0,12.0,2009.0,1,13.0,2010.0,1,2015,6,2,9,24,0,3347.0,2706.0,5198.0,8138.0,4975.0,4754.6,0
73,5,0,0,0,2,1650.0,9.0,2008.0,0,0.0,0.0,1,2015,7,3,10,28,0,4278.0,5336.0,3847.0,4595.0,4456.571428571428,4463.8,0
74,3,0,1,0,0,330.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,8,28,0,5041.0,8983.0,4684.0,8335.0,6283.0,6265.233333333334,0
75,5,0,0,3,2,22440.0,12.0,2013.0,0,0.0,0.0,1,2015,6,2,26,26,0,4648.0,6012.0,4497.0,6395.0,5505.428571428572,6142.966666666666,0
76,2,0,0,3,2,19960.0,3.0,2006.0,0,0.0,0.0,1,2015,7,3,7,28,0,9392.0,12719.0,8796.0,13150.0,10324.0,9394.533333333333,0
77,4,0,0,3,2,1090.0,8.0,2009.0,1,10.0,2014.0,1,2015,6,2,11,24,0,5800.0,9935.0,8682.0,10825.0,8256.42857142857,8192.9,0
78,1,1,0,0,0,3510.0,11.0,2006.0,1,5.0,2013.0,1,2015,6,2,1,23,0,3598.0,3895.0,4325.0,2849.0,3682.8571428571427,3968.9,0
79,1,0,0,0,0,3320.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,6,28,0,4127.0,3612.0,6731.0,4993.0,6639.285714285715,5753.166666666667,0
80,6,0,0,3,0,7910.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,20,25,1,8271.0,6633.0,11285.0,8997.0,8884.57142857143,8612.2,0
81,6,0,0,0,0,2370.0,3.0,2011.0,1,40.0,2014.0,1,2015,7,3,11,28,1,6841.0,8319.0,5973.0,8385.0,6891.571428571428,7321.066666666667,0
82,2,1,1,0,0,22390.0,4.0,2008.0,1,37.0,2009.0,1,2015,6,2,30,27,0,15283.0,8042.0,5875.0,5642.0,8556.42857142857,9317.133333333333,0
83,3,1,1,0,0,2710.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,15,29,0,4380.0,3141.0,5080.0,3396.0,3472.0,3953.133333333333,0
84,6,0,0,0,2,11810.0,8.0,2014.0,0,0.0,0.0,1,2015,7,3,11,28,1,11732.0,13623.0,11086.0,11701.0,12290.714285714286,13359.066666666668,0
85,5,1,1,1,0,1870.0,10.0,2011.0,0,0.0,0.0,1,2015,7,3,31,31,0,7187.0,5791.0,7750.0,7820.0,7505.428571428572,7446.166666666667,0
86,4,1,0,0,0,480.0,2.0,2005.0,1,31.0,2013.0,1,2015,6,2,18,25,0,5847.0,3590.0,7274.0,3853.0,4838.857142857143,4884.9,0
87,2,1,1,0,0,560.0,12.0,2010.0,0,0.0,0.0,1,2015,7,3,28,31,0,8403.0,5998.0,4124.0,5118.0,5403.142857142857,5768.3,0
88,2,1,1,0,0,10690.0,10.0,2005.0,0,0.0,0.0,1,2015,7,3,14,29,0,10116.0,6076.0,2191.0,6022.0,5955.285714285715,6217.433333333333,0
89,1,1,0,0,0,2380.0,7.0,2004.0,1,40.0,2014.0,1,2015,6,2,29,27,0,5006.0,4086.0,5826.0,7666.0,5418.714285714285,6073.6,0
90,5,1,1,0,0,330.0,11.0,2007.0,0,0.0,0.0,1,2015,7,3,31,31,0,8879.0,7391.0,9216.0,7332.0,8017.285714285715,8377.0,0
91,5,1,1,2,0,2410.0,0.0,0.0,1,35.0,2011.0,0,2015,6,2,5,23,0,5316.0,4506.0,6261.0,6731.0,4908.571428571428,5070.633333333333,0
92,1,1,1,2,0,240.0,0.0,0.0,1,45.0,2009.0,0,2015,7,3,13,29,0,5398.0,5037.0,5240.0,5190.0,5295.142857142857,6283.333333333333,0
93,6,0,0,0,0,16690.0,0.0,0.0,1,14.0,2011.0,0,2015,7,3,4,27,1,7784.0,5796.0,7002.0,6641.0,7114.857142857143,6419.366666666667,0
94,2,0,0,3,2,14620.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,23,26,0,6196.0,11167.0,6042.0,5624.0,8383.285714285714,7871.5,0
95,3,1,0,0,0,1890.0,10.0,2014.0,0,0.0,0.0,1,2015,6,2,3,23,0,9393.0,7346.0,3996.0,3990.0,7099.714285714285,7471.5,0
96,5,1,1,0,0,8780.0,2.0,2005.0,1,37.0,2009.0,1,2015,7,3,17,29,0,6313.0,4847.0,6280.0,3750.0,5603.714285714285,5284.3,0
97,4,1,0,3,2,8980.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,2,27,0,8140.0,5519.0,8519.0,6597.0,7185.285714285715,7097.566666666667,0
98,4,0,0,3,2,15140.0,12.0,2006.0,1,1.0,2012.0,1,2015,6,2,11,24,0,4122.0,7224.0,5313.0,7714.0,5933.142857142857,5856.966666666666,0
99,5,1,0,2,2,2030.0,11.0,2003.0,1,22.0,2012.0,1,2015,7,3,31,31,0,6046.0,5040.0,5830.0,4857.0,6107.571428571428,5761.066666666667,0
100,2,0,0,3,0,17930.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,23,26,0,6796.0,12329.0,8378.0,9534.0,8812.285714285714,8578.166666666666,0
101,3,1,0,3,2,2440.0,0.0,0.0,1,22.0,2012.0,0,2015,6,2,3,23,0,8685.0,8033.0,6776.0,6697.0,8279.42857142857,8415.5,0
102,2,0,1,0,0,150.0,12.0,2007.0,1,10.0,2014.0,1,2015,7,3,7,28,0,8156.0,12311.0,5787.0,11555.0,8968.142857142857,7580.033333333334,0
103,1,0,1,3,2,5210.0,5.0,2015.0,0,0.0,0.0,1,2015,7,3,20,30,0,4335.0,4465.0,5124.0,6766.0,5058.857142857143,4874.933333333333,0
104,6,0,0,0,0,390.0,6.0,2009.0,0,0.0,0.0,1,2015,6,2,13,24,1,9255.0,11524.0,9427.0,9980.0,9990.42857142857,10780.566666666668,0
105,3,0,0,0,2,6190.0,0.0,0.0,1,23.0,2013.0,0,2015,7,3,22,30,0,4076.0,6288.0,4869.0,5887.0,4967.0,5059.9,0
106,5,1,0,0,0,1390.0,8.0,2013.0,0,0.0,0.0,1,2015,6,2,19,25,0,8719.0,7977.0,10175.0,10278.0,9305.857142857143,9017.1,0
107,5,0,0,0,0,1930.0,9.0,2009.0,0,0.0,0.0,1,2015,6,2,26,26,0,5885.0,7157.0,6425.0,7572.0,6796.714285714285,7565.366666666667,0
108,6,0,0,3,2,2190.0,9.0,2003.0,0,0.0,0.0,1,2015,7,3,4,27,1,13208.0,10600.0,12621.0,12747.0,13333.57142857143,12783.333333333334,0
109,4,1,0,0,2,3300.0,11.0,2010.0,0,0.0,0.0,1,2015,7,3,2,27,0,8369.0,5113.0,7459.0,5555.0,6819.857142857143,6683.733333333334,0
110,2,1,0,0,2,46590.0,4.0,2013.0,0,0.0,0.0,1,2015,6,2,16,25,0,5979.0,4472.0,3520.0,3531.0,4103.428571428572,4384.433333333333,0
111,5,0,0,3,2,7890.0,0.0,0.0,1,37.0,2009.0,0,2015,7,3,24,30,0,6827.0,6988.0,5680.0,8028.0,6396.428571428572,6687.466666666666,0
112,1,1,1,0,0,1630.0,9.0,2009.0,0,0.0,0.0,1,2015,7,3,27,31,0,5574.0,6065.0,6268.0,5858.0,6512.285714285715,6382.4,0
113,3,1,0,3,2,20930.0,11.0,1999.0,0,0.0,0.0,1,2015,7,3,15,29,0,6395.0,4235.0,7801.0,5072.0,5461.0,5765.366666666667,0
114,6,0,0,2,0,4510.0,0.0,0.0,1,48.0,2011.0,0,2015,7,3,4,27,1,5564.0,4819.0,5549.0,6281.0,5903.0,5364.633333333333,0
115,3,0,0,3,2,5740.0,4.0,2007.0,1,40.0,2014.0,1,2015,7,3,22,30,0,6189.0,8628.0,7107.0,8519.0,8253.142857142857,7998.766666666666,0
116,4,1,0,0,0,680.0,4.0,2013.0,0,0.0,0.0,1,2015,6,2,18,25,0,8146.0,5924.0,9383.0,6000.0,7300.285714285715,7492.766666666666,0
117,3,1,1,0,0,3450.0,9.0,2011.0,0,0.0,0.0,1,2015,7,3,15,29,0,4435.0,3423.0,5620.0,3132.0,3601.8571428571427,3743.8,0
118,4,1,0,3,2,3580.0,9.0,2012.0,0,0.0,0.0,1,2015,7,3,16,29,0,9868.0,7260.0,11626.0,6482.0,9364.42857142857,8576.366666666667,0
119,2,0,0,0,2,2100.0,2.0,2010.0,0,0.0,0.0,1,2015,6,2,9,24,0,5910.0,9499.0,6251.0,5753.0,6614.714285714285,6487.466666666666,0
120,6,0,0,3,0,2290.0,12.0,2014.0,1,37.0,2009.0,1,2015,7,3,11,28,1,6568.0,7168.0,4706.0,6115.0,6149.571428571428,6931.9,0
121,4,0,1,0,0,3570.0,11.0,2009.0,1,36.0,2013.0,1,2015,7,3,23,30,0,3046.0,5038.0,3235.0,4556.0,3791.1428571428573,4078.766666666667,0
122,6,0,0,0,2,58260.0,4.0,2013.0,0,0.0,0.0,1,2015,7,3,18,29,1,8998.0,7323.0,7563.0,6900.0,8363.57142857143,7364.0,0
123,6,0,0,0,0,16760.0,9.0,2011.0,0,0.0,0.0,1,2015,7,3,18,29,1,8050.0,7509.0,9591.0,3639.0,9153.714285714286,8342.6,0
124,3,0,0,0,0,1410.0,4.0,2003.0,0,0.0,0.0,1,2015,6,2,10,24,0,4520.0,7099.0,5836.0,4400.0,5547.142857142857,5140.2,0
125,2,1,1,0,0,760.0,12.0,2005.0,0,0.0,0.0,1,2015,7,3,28,31,0,14305.0,12676.0,8686.0,8666.0,10888.57142857143,11825.6,0
126,3,0,1,3,0,3370.0,10.0,2014.0,1,18.0,2011.0,1,2015,7,3,8,28,0,4220.0,8283.0,3907.0,7648.0,5763.0,5623.733333333334,0
127,3,1,0,3,0,1350.0,12.0,2005.0,1,13.0,2010.0,1,2015,7,3,29,31,0,7176.0,3839.0,6579.0,4213.0,5310.571428571428,5252.066666666667,0
128,1,1,0,3,2,2000.0,0.0,0.0,1,1.0,2013.0,0,2015,6,2,1,23,0,9457.0,8858.0,8335.0,6040.0,7790.428571428572,8593.066666666668,0
129,3,1,0,0,0,2460.0,0.0,0.0,1,14.0,2011.0,0,2015,7,3,15,29,0,10062.0,6678.0,14183.0,7554.0,8048.0,8556.266666666666,0
130,4,0,0,2,0,900.0,0.0,0.0,1,13.0,2010.0,0,2015,7,3,9,28,0,4942.0,5858.0,4284.0,6830.0,5106.714285714285,5374.1,0
131,1,0,1,2,0,920.0,7.0,2015.0,0,0.0,0.0,1,2015,7,3,6,28,0,4432.0,5458.0,5360.0,5397.0,6030.857142857143,5685.766666666666,0
132,2,1,0,3,2,1040.0,0.0,0.0,1,27.0,2012.0,0,2015,6,2,30,27,0,11607.0,6349.0,7543.0,8267.0,7049.857142857143,7535.733333333334,0
133,2,1,0,0,0,270.0,8.0,2013.0,1,10.0,2014.0,1,2015,6,2,2,23,0,7988.0,3152.0,6903.0,5120.0,5286.571428571428,6172.133333333333,0
134,6,0,0,0,0,1200.0,9.0,2008.0,0,0.0,0.0,1,2015,6,2,13,24,1,4568.0,4888.0,4687.0,4913.0,4473.714285714285,4736.733333333334,0
135,3,1,0,3,0,5190.0,0.0,0.0,1,1.0,2013.0,0,2015,7,3,15,29,0,7235.0,4967.0,10957.0,4696.0,6253.857142857143,6227.533333333334,0
136,1,1,1,0,2,2200.0,12.0,2010.0,1,22.0,2012.0,1,2015,6,2,1,23,0,5300.0,7133.0,5907.0,3967.0,5371.857142857143,6048.066666666667,0
137,5,1,0,0,0,1730.0,7.0,2015.0,1,40.0,2014.0,1,2015,6,2,19,25,0,9049.0,7121.0,10498.0,7350.0,8937.42857142857,9007.833333333334,0
138,3,0,1,0,2,25360.0,10.0,2014.0,0,0.0,0.0,1,2015,7,3,22,30,0,6373.0,9697.0,7109.0,8331.0,7606.0,7618.8,0
139,1,0,0,0,0,1700.0,1.0,2008.0,1,14.0,2011.0,1,2015,6,2,8,24,0,3920.0,6639.0,6766.0,8228.0,7090.714285714285,7123.366666666667,0
140,3,0,0,0,2,1090.0,7.0,2010.0,1,1.0,2013.0,1,2015,6,2,10,24,0,7180.0,10810.0,7555.0,9288.0,8953.0,8261.5,0
141,6,0,0,2,2,1540.0,0.0,0.0,1,22.0,2012.0,0,2015,7,3,11,28,1,4824.0,5612.0,4222.0,4613.0,4842.142857142857,5342.833333333333,0
142,1,0,0,0,0,1090.0,7.0,2002.0,0,0.0,0.0,1,2015,6,2,8,24,0,3371.0,4958.0,5058.0,5904.0,5093.571428571428,4954.366666666667,0
143,3,0,0,3,0,2930.0,12.0,2002.0,0,0.0,0.0,1,2015,7,3,22,30,0,4518.0,8625.0,5906.0,7218.0,6313.285714285715,6259.3,0
144,5,0,0,0,2,16570.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,24,30,0,7514.0,8112.0,6549.0,9097.0,7207.571428571428,7276.433333333333,0
145,3,1,0,0,0,280.0,0.0,0.0,1,45.0,2009.0,0,2015,6,2,17,25,0,9711.0,6597.0,7258.0,6608.0,7466.0,7637.4,0
146,6,0,0,3,2,8050.0,10.0,1961.0,1,48.0,2012.0,1,2015,7,3,4,27,1,9731.0,7023.0,8893.0,8734.0,9608.285714285714,8922.566666666668,0
147,2,0,0,3,2,8540.0,0.0,0.0,0,0.0,0.0,0,2015,6,2,23,26,0,6247.0,12485.0,8367.0,7934.0,8946.857142857143,8706.566666666668,0
148,2,0,0,0,0,2090.0,12.0,2008.0,0,0.0,0.0,1,2015,6,2,9,24,0,9518.0,11907.0,9119.0,10252.0,10045.0,9547.133333333333,0
149,3,0,0,3,0,2610.0,7.0,2006.0,1,14.0,2011.0,1,2015,7,3,22,30,0,4309.0,7353.0,5512.0,6262.0,5545.142857142857,5340.766666666666,0
150,3,0,0,2,2,31830.0,3.0,2010.0,0,0.0,0.0,1,2015,6,2,24,26,0,5346.0,10011.0,7334.0,9671.0,8103.857142857143,8520.733333333334,0
151,6,0,0,3,2,4360.0,10.0,2005.0,0,0.0,0.0,1,2015,7,3,18,29,1,7291.0,7490.0,8548.0,5699.0,7706.428571428572,7353.766666666666,0
152,5,1,1,0,0,1780.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,17,29,0,5991.0,4185.0,7779.0,4616.0,5879.571428571428,5700.433333333333,0
153,2,1,0,0,0,16240.0,10.0,2000.0,1,18.0,2011.0,1,2015,6,2,2,23,0,12189.0,4285.0,6534.0,4413.0,6407.571428571428,7087.333333333333,0
154,1,0,0,3,2,16420.0,0.0,0.0,0,0.0,0.0,0,2015,7,3,6,28,0,7209.0,7986.0,10021.0,9272.0,10055.285714285714,9468.566666666668,0
155,1,0,0,3,0,3050.0,0.0,0.0,1,35.0,2010.0,0,2015,7,3,20,30,0,7415.0,5869.0,6804.0,10876.0,6540.714285714285,6702.166666666667,0
156,1,0,0,0,0,2020.0,2.0,2011.0,1,14.0,2011.0,1,2015,6,2,22,26,0,2649.0,2797.0,7783.0,2895.0,7192.428571428572,7040.9,0
